Shigella phage ESh1	GCA_023731595.1
Shigella phage ESh3	GCA_023731785.1
Escherichia phage T7	
Escherichia phage T7	GCF_000844825.1
Escherichia phage T7	GCA_020496115.1
Escherichia phage T7	GCA_020496145.1
Escherichia phage T7	GCA_020496485.1
Escherichia phage T7	GCA_021870105.1
Shigella phage ESh6	GCA_023731865.1
Escherichia phage T7	GCA_021870115.1
Escherichia phage T7	GCA_020496415.1
Escherichia phage T7	GCA_019089585.1
Escherichia phage T7	GCA_020496565.1
Escherichia phage T7	
Escherichia phage NC-A	GCF_004325275.1
Escherichia phage T7	GCA_020496735.1
Escherichia phage T7	GCA_020496905.1
Escherichia phage T7	GCA_019089595.1
Escherichia phage T7	GCA_020496865.1
Escherichia phage T7	
Escherichia phage HZ2R8	GCF_002958515.1
Escherichia phage T7	GCA_020496615.1
Escherichia phage T7	GCA_021870085.1
Escherichia phage T7	GCA_020496805.1
Enterobacteria phage AH67C600_Q5	GCA_020489705.1
Escherichia phage T7	GCA_020496555.1
Escherichia phage vB_EcoP_PHB19	GCA_009909595.1
Escherichia phage HZP2	GCF_004338395.1
Escherichia phage EG1	GCF_002957255.1
Cedecea phage Yanou	GCA_024381165.1
Escherichia phage T7	GCA_020496885.1
Escherichia phage T7	GCA_020496875.1
Serratia phage Pila	GCA_008951985.1
Yersinia phage YpP-R	GCA_002991145.1
Escherichia phage N30	GCF_003613655.1
Serratia phage vB_SmaP-UFV01	GCA_020490095.1
Escherichia phage T7	
Yersinia phage phiA1122	GCF_000843345.1
Salmonella phage C2	GCA_009708635.1
Escherichia phage 64795_ec1	GCF_001744055.1
Escherichia phage 04922B	GCA_025727355.1
Escherichia phage 13a	GCF_000880255.1
Enterococcus phage EFA-2	GCA_013133605.1
Escherichia phage CICC 80001	GCF_001041375.1
Escherichia phage JB01	GCA_015296585.1
Escherichia phage T7	GCA_002600005.1
Salmonella phage 3A_8767	GCF_003341475.1
Escherichia phage JacobBurckhardt	GCA_020892795.1
