Aeromonas	642
Bordetella	517
Caudovirales	
Caudoviricetes	2731619
Caulobacter	75
Cedecea	158483
Citrobacter	544
Cronobacter	413496
Delftia	80865
Dickeya	204037
Edwardsiella	635
Edwardsiella	132406
Enterobacter	547
Enterobacteria	
Enterococcus	1350
Erwinia	551
Escherichia	561
Hafnia	568
Klebsiella	570
Kluyvera	579
Kosakonia	1330547
Leclercia	83654
Morganella	581
Morganella	90690
Morganella	108061
Pantoea	53335
Pasteurella	745
Pectobacterium	122277
Pelagibacter	
Prochlorococcus	1218
Proteus	583
Proteus	210425
Providencia	586
Pseudomonas	286
Rahnella	34037
Ralstonia	48736
Rhizobium	379
Salmonella	590
Serratia	613
Serratia	2985502
Shigella	620
Stenotrophomonas	40323
Synechococcus	1129
Vibrio	662
Xanthomonas	338
Yersinia	629
Yersinia	444888
