nuccore_id	host_name	taxid	no rank	superkingdom	phylum	class	order	family	genus	clade	kingdom	subclass	subkingdom	subphylum	suborder	infraclass	cohort	superfamily	superclass	superorder	infraorder	subfamily	tribe
HG796219.1	Burkholderia	32008	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia														
HG796221.1	Burkholderia	32008	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia														
MK089780.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MK984681.1	Bordetella	517	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella														
MK838107.1	Aeromonas	642	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas														
MK962628.1	Achromobacter	222	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter														
MK962638.1	Achromobacter	222	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter														
MK962640.1	Achromobacter	222	cellular organisms	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter														
MN184885.1	Erwinia	551	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia														
MK257719.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MK257720.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MK257722.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MK257723.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MK455769.1	Aeromonas	642	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas														
MN061582.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MN478375.1																							
MN614471.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
GU393987.1	Caulobacter	75	cellular organisms	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter														
MN294712.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MT263719.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MT259468.1	Aeromonas	642	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas														
MN855727.1																							
MN855859.1																							
MN855799.1																							
MN855791.1																							
MN855780.1																							
MN855776.1																							
MN855772.1																							
MN855769.1																							
MN604238.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MN604239.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MN651570.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MT350293.1	Enterococcus	1350	cellular organisms	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Terrabacteria group													
MN433707.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
MN807295.1	Acinetobacter	469	cellular organisms	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter														
