nuccore_id	taxid	superkingdom	clade	kingdom	phylum	class	family	subfamily	genus	species	no rank
HG796219.1	1437328	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Okabevirinae	Ampunavirus	Ampunavirus BpAMP1	Burkholderia phage Bp-AMP2
HG796221.1	1437329	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Okabevirinae	Ampunavirus	Ampunavirus BpAMP1	Burkholderia phage Bp-AMP4
MK089780.1	2483772	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_APK14	unclassified Friunavirus
MK984681.1	2587820	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae		Gyeongsanvirus	Bordetella phage vB_BbrP_BB8	unclassified Gyeongsanvirus
MK838107.1	2591024	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Melnykvirinae	Ahphunavirus	Aeromonas phage LAh1	unclassified Ahphunavirus
MK962628.1	2591040	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Krylovirinae		Achromobacter phage vB_AxyP_19-32_Axy09	unclassified Krylovirinae
MK962638.1	2591045	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Krylovirinae		Achromobacter phage vB_AxyP_19-32_Axy21	unclassified Krylovirinae
MK962640.1	2591047	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Krylovirinae		Achromobacter phage vB_AxyP_19-32_Axy23	unclassified Krylovirinae
MN184885.1	2601644	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Studiervirinae		Erwinia phage pEp_SNUABM_09	unclassified Studiervirinae
MK257719.1	2500561	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Friunavirus IME200	Acinetobacter phage vB_AbaP_APK2
MK257720.1	2500562	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Friunavirus IME200	Acinetobacter phage vB_AbaP_APK2-2
MK257722.1	2500563	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_APK32	unclassified Friunavirus
MK257723.1	2500564	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_APK37	unclassified Friunavirus
MK455769.1	2510451	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Colwellvirinae		Aeromonas phage MJG	unclassified Colwellvirinae
MN061582.1	2608405	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_IME546	unclassified Friunavirus
MN478375.1	2662140	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae		Pradovirus	Bacteriophage Titan-X	unclassified Pradovirus
MN614471.1	2663328	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_APK48-3	unclassified Friunavirus
GU393987.1	718008	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae			Caulobacter phage Cd1	unclassified Autographiviridae
MN294712.1	2608299	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Autographiviridae	Beijerinckvirinae	Friunavirus	Acinetobacter phage vB_AbaP_APK48	unclassified Friunavirus
