seq_id	order
AY264775.1	Enterobacterales
AY264776.1	Enterobacterales
AY264777.1	Enterobacterales
AY264778.1	Enterobacterales
HG796219.1	Burkholderiales
HG796221.1	Burkholderiales
KY295893.1	Escherichia
HQ641344.1	Vibrionales
HQ641343.1	Vibrionales
HQ641341.1	Vibrionales
KY435490.1	Escherichia
KY883651.1	Vibrionales
KY883644.1	Vibrionales
KY883645.1	Vibrionales
KY883648.1	Vibrionales
KY883649.1	Vibrionales
MF574151.1	Vibrionales
LT961836.1	Enterobacterales
LT961837.1	Enterobacterales
LT961838.1	Enterobacterales
LT961846.1	Enterobacterales
JQ965701.1	Enterobacterales
KY744566.1	Enterobacterales
MH179478.2	Pseudomonadales
GU071093.1	Synechococcales
HQ641342.1	Vibrionales
MH807816.1	Enterobacterales
MH807819.1	Enterobacterales
MK095201.1	Enterobacterales
MK089780.1	Moraxellales
MK521905.1	Enterobacteriaceae
MK380016.1	Enterobacteriaceae
MK608335.1	Enterobacteriaceae
MK373771.1	Escherichia
MK610268.1	Enterobacterales
MK380014.1	Enterobacteriaceae
MK380015.1	Enterobacteriaceae
MK984681.1	Burkholderiales
MH598798.1	Pelagibacterales
MH598800.1	Pelagibacterales
MH598801.1	Pelagibacterales
MH598802.1	Pelagibacterales
MH598803.1	Pelagibacterales
MH598805.1	Pelagibacterales
MH598806.1	Pelagibacterales
MH598807.1	Pelagibacterales
MH579717.1	Pelagibacterales
MH598804.1	Pelagibacterales
MK838107.1	Aeromonadales
MN080711.1	Escherichia
MK962628.1	Burkholderiales
MK962638.1	Burkholderiales
MK962640.1	Burkholderiales
MG575418.1	Enterobacterales
MG575419.1	Enterobacterales
MK903277.1	Escherichia
MK903278.1	Xanthomonadales
MK903279.1	Escherichia
MK903280.1	Xanthomonadales
MK903281.1	Escherichia
MN101216.1	Enterobacteriaceae
MN101217.1	Enterobacteriaceae
MN101218.1	Enterobacteriaceae
MN101220.1	Enterobacteriaceae
MN101227.1	Enterobacteriaceae
