seq_id	clans	has_samases	has_ocrs	has_stpks	has_T3p0.6	has_T7p0.4	has_T7p0.6B	has_T3p0.65	has_T7p0.6A	has_T7p0.5	has_adgs	has_htgs
AY264775.1	frozenset({'20_clan', '1_clan, 6_clan, 9_clan', '33_clan', '48_clan', '4_clan, 8_clan'})	False	True	False	False	True	False	False	False	True	True	True
AY264776.1	frozenset({'20_clan', '13_clan', '1774_mono', '1_clan, 6_clan, 9_clan', '33_clan', '97_clan', '380_pair', 'outlier: 84_clan', '282_pair'})	False	True	False	False	True	False	False	False	False	True	True
AY264777.1	frozenset({'31_clan', '1_clan, 6_clan, 9_clan', '33_clan', '94_clan', '48_clan', '4_clan, 8_clan'})	False	True	False	False	False	True	False	True	True	True	True
AY264778.1	frozenset({'31_clan', '1_clan, 6_clan, 9_clan', '33_clan', '94_clan', '48_clan', '4_clan, 8_clan'})	False	True	False	False	False	True	False	True	True	True	True
Broecker_Sample_ID29-1191-3_NODE_102_length_38363_cov_11.011251	frozenset({'13_clan', '2171_mono', '1_clan, 6_clan, 9_clan', 'bridge: 4_clan, 8_clan, 8_clan, 8_clan', '97_clan', '2358_mono', '282_pair'})	False	False	True	False	False	False	False	False	False	False	True
ERS698680|NODE_23_length_11647_cov_8.695997	frozenset({'403_pair', '1_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS698777|NODE_7_length_43252_cov_47.221080	frozenset({'12_clan', '2099_mono', '1_clan, 6_clan, 9_clan', '1702_mono', '1577_mono', 'outlier, outlier: 37_clan', '176_clan', '299_pair'})	False	False	False	False	False	False	False	False	False	False	False
ERS698786|NODE_3_length_76173_cov_1678.751649	frozenset({'325_pair', '2806_mono', '6_clan, 9_clan', '455_mono', '1127_mono', '2454_mono', '239_pair', '55_clan', '2318_mono', '2377_mono', '2095_mono', '1_clan, 9_clan', '393_pair', '1314_mono'})	False	False	False	False	False	False	False	False	False	False	False
ERS743392|NODE_299_length_16723_cov_6.762599	frozenset({'2111_mono', '1667_mono', '1_clan, 6_clan, 9_clan', '1513_mono', '1082_mono'})	False	False	False	False	False	False	False	False	False	False	False
ERS743396|NODE_14_length_17048_cov_15.538575	frozenset({'1_clan, 6_clan, 9_clan', '19_clan'})	False	False	False	False	False	False	False	False	False	False	False
