index	clu	clan	num_reprs	prelim_info	annotations	pfam_domains	mean_length	std_length	mean_pi	std_pi	apises	dbapis_clans	defense_systems	phrogs	pfam_ids	clu_netw
1	1264	1_clan; 6_clan; 9_clan	1092	T7pRNAP, T3pRNAP	nan: 625; RNA polymerase: 354; RNA polymerase,N4-like RNA polymerase: 66; N4-like RNA polymerase: 47	RNA_pol,RPOL_N: 1082; RNA_pol: 9; RNA_pol,RPOL_N,Tropomodulin: 1	869.9578754578755	35.827523257916866	6.878791208791209	0.7862490307791188	nan: 1092	nan: 1092	nan: 1092	nan: 625; phrog_414: 152; phrog_36028: 80; phrog_414,phrog_2166: 61; phrog_2051: 52; phrog_2166: 47; phrog_20599: 27; phrog_414,phrog_20599: 22; phrog_2051,phrog_36028: 11; phrog_414,phrog_36028: 10; phrog_2166,phrog_36028: 3; phrog_2166,phrog_414,phrog_36028: 2	PF00940.22,PF14700.9: 1082; PF00940.22: 9; PF00940.22,PF14700.9,PF03250.17: 1	clu_1264
2	11973	5_clan	400		exonuclease: 256; nan: 144	nan: 342; 5_3_exonuc_N: 29; 5_3_exonuc: 26; 5_3_exonuc,5_3_exonuc_N: 3	319.3375	11.24342609375872	5.4895249999999995	0.784960784343647	nan: 400	nan: 400	nan: 400	phrog_107: 256; nan: 144	nan: 342; PF02739.19: 29; PF01367.23: 26; PF01367.23,PF02739.19: 3	clu_11973
3	14649	1_clan; 6_clan; 9_clan	363		RNA polymerase: 119; N4-like RNA polymerase: 93; RNA polymerase,N4-like RNA polymerase: 91; nan: 60	RNA_pol,RPOL_N: 326; RNA_pol: 37	809.8870523415978	30.95676762404787	6.457162534435261	0.6204052707939529	nan: 363	nan: 363	nan: 363	phrog_2166: 93; phrog_20599,phrog_2166: 89; phrog_2051: 69; nan: 60; phrog_414: 42; phrog_20599: 6; phrog_414,phrog_20599: 2; phrog_414,phrog_2166: 1; phrog_2166,phrog_20599,phrog_36028: 1	PF00940.22,PF14700.9: 326; PF00940.22: 37	clu_14649
4	11969	10_clan	363		hypothetical protein: 270; nan: 93	nan: 363	289.75206611570246	21.565631929670023	5.278457300275482	0.35375232497587994	nan: 363	nan: 363	nan: 363	phrog_862: 270; nan: 93	nan: 363	clu_11969
5	8416	14_clan	303		endonuclease VII: 282; HNH endonuclease,endonuclease VII: 18; nan: 2; hypothetical protein,endonuclease VII: 1	Endonuclease_7: 293; Endonuclease_7,Peptidase_S29: 8; Endonuclease_7,Rad50_zn_hook: 2	143.7161716171617	7.206874651927542	10.054917491749174	0.20332804650207556	nan: 303	nan: 303	nan: 303	phrog_11865,phrog_20005,phrog_307: 43; phrog_423,phrog_11865,phrog_2914,phrog_307: 42; phrog_423,phrog_11865: 37; phrog_423,phrog_307,phrog_2633,phrog_2914,phrog_11865: 30; phrog_423,phrog_2914: 27; phrog_423,phrog_11865,phrog_20005,phrog_307: 21; phrog_423,phrog_307,phrog_2633,phrog_2914,phrog_11865,phrog_20005: 14; phrog_423,phrog_307,phrog_17507,phrog_2914,phrog_11865: 9; phrog_423,phrog_307,phrog_2633,phrog_2914,phrog_20005: 8; phrog_11865: 8; phrog_423: 6; phrog_423,phrog_307,phrog_2633,phrog_17507,phrog_2914,phrog_11865: 6; phrog_423,phrog_11865,phrog_20005: 5; phrog_2914,phrog_307: 4; phrog_20005,phrog_36860,phrog_307,phrog_2914: 3; phrog_423,phrog_11865,phrog_2914: 3; phrog_423,phrog_2914,phrog_20005: 3; phrog_423,phrog_307,phrog_2633,phrog_36860,phrog_2914,phrog_11865,phrog_20005: 3; phrog_11865,phrog_2914,phrog_307: 2; phrog_423,phrog_307,phrog_2633,phrog_36860,phrog_17507,phrog_2914,phrog_11865,phrog_20005: 2; phrog_423,phrog_11865,phrog_307: 2; nan: 2; phrog_423,phrog_307,phrog_2633,phrog_36860,phrog_17507,phrog_2914,phrog_20005: 2; phrog_423,phrog_307,phrog_2633,phrog_36860,phrog_2914,phrog_20005: 2; phrog_423,phrog_2914,phrog_307: 1; phrog_307,phrog_25658,phrog_2633,phrog_17507,phrog_2914,phrog_11865: 1; phrog_423,phrog_2914,phrog_20005,phrog_307: 1; phrog_307,phrog_36860,phrog_17507,phrog_2914,phrog_20005: 1; phrog_11865,phrog_2914,phrog_2633: 1; phrog_11865,phrog_2914,phrog_307,phrog_2633: 1; phrog_423,phrog_307,phrog_2914,phrog_11865,phrog_20005: 1; phrog_423,phrog_307,phrog_36860,phrog_2914,phrog_11865,phrog_20005: 1; phrog_20005,phrog_36860,phrog_2914: 1; phrog_307,phrog_36860,phrog_2914,phrog_20005,phrog_1808: 1; phrog_423,phrog_307,phrog_17507,phrog_2914,phrog_20005: 1; phrog_17507,phrog_2914,phrog_307,phrog_2633: 1; phrog_11865,phrog_36860,phrog_307: 1; phrog_11865,phrog_20005: 1; phrog_307,phrog_2633,phrog_17507,phrog_2914,phrog_11865: 1; phrog_11865,phrog_2914: 1; phrog_423,phrog_307,phrog_2633,phrog_17507,phrog_2914,phrog_11865,phrog_20005: 1; phrog_11865,phrog_2914,phrog_20005,phrog_307: 1; phrog_423,phrog_307,phrog_2633,phrog_17507,phrog_2914,phrog_11865,phrog_36860: 1	PF02945.18: 293; PF02945.18,PF02907.18: 8; PF02945.18,PF04423.17: 2	clu_8416
6	2969	4_clan; 8_clan	253	T7pSTPK, T3pSTPK	protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,serine-threonine kinase,kinase: 217; protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,serine-threonine kinase,kinase,MarR family transcrition regulator: 35; hypothetical protein,serine-threonine kinase,kinase,protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,MarR family transcrition regulator: 1	nan: 253	349.1383399209486	19.74361038922353	6.887075098814229	0.870306540534149	nan: 140; APIS085: 113	nan: 140; CLAN020: 113	nan: 140; restriction-modification (RM);bacteriophage exclusion (BREX): 113	phrog_15752,phrog_2828,phrog_18305: 217; phrog_15752,phrog_1687,phrog_2828,phrog_18305: 35; phrog_3809,phrog_15752,phrog_2828,phrog_1687,phrog_18305: 1	nan: 253	clu_2969
7	6799	15_clan	226	T3p0.6	hypothetical protein: 221; nan: 5	nan: 226	65.570796460177	3.5234877018451614	10.716902654867257	0.2132669882086467	nan: 226	nan: 226	nan: 226	phrog_2385: 221; nan: 5	nan: 226	clu_6799
8	9717	22_clan; 25_clan; 52_clan	189	SAMase	SAM-dependent methyltransferase: 189	nan: 189	154.47619047619048	5.468061452528876	5.842910052910053	1.0481521213669613	APIS091: 177; APIS093: 12	CLAN015: 189	restriction-modification (RM);bacteriophage exclusion (BREX): 189	phrog_2226: 189	nan: 189	clu_9717
9	6958	33_clan	183	Ocr	ocr-like anti-restriction: 183	ocr: 183	116.78142076502732	5.450706593272114	4.053060109289617	0.017554677345120742	APIS087: 84; APIS010: 65; APIS077: 33; APIS085: 1	CLAN020: 183	restriction-modification (RM);bacteriophage exclusion (BREX): 183	phrog_2568: 183	PF08684.13: 183	clu_6958
10	2763	122_clan	149		hypothetical protein: 149	nan: 149	66.73154362416108	2.008868420493077	5.221744966442953	0.21940870028705411	nan: 149	nan: 149	nan: 149	phrog_6923: 149	nan: 149	clu_2763
11	16297	95_clan	147		metallo-phosphoesterase: 147	Metallophos: 100; nan: 47	319.65986394557825	21.949037049005646	7.023673469387755	0.9906723064035184	nan: 147	nan: 147	nan: 147	phrog_221: 147	PF00149.31: 100; nan: 47	clu_16297
12	16826	103_clan	144		hypothetical protein: 143; nan: 1	nan: 144	124.52083333333333	1.462676682292803	4.373541666666666	0.4094913589771135	nan: 144	nan: 144	nan: 144	phrog_6607: 143; nan: 1	nan: 144	clu_16826
13	15322	46_clan	140		hypothetical protein: 140	nan: 140	31.77857142857143	3.3113449138901485	6.3730714285714285	1.524609583910078	nan: 140	nan: 140	nan: 140	phrog_1312: 140	nan: 140	clu_15322
14	539	12_clan	122		hypothetical protein,nucleotide kinase: 86; hypothetical protein,nucleotide kinase,kinase: 36	DUF3310: 122	94.36065573770492	5.648177609659247	6.134836065573771	1.0959242550940285	nan: 122	nan: 122	nan: 122	phrog_10602,phrog_4943,phrog_4472,phrog_11450,phrog_236,phrog_1689,phrog_4897: 30; phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1225,phrog_1689: 22; phrog_26623,phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1225,phrog_1689: 19; phrog_10602,phrog_4472,phrog_4943,phrog_236,phrog_1225: 18; phrog_26623,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1225,phrog_1689: 15; phrog_18538,phrog_11324,phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1689: 5; phrog_18538,phrog_11324,phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1689,phrog_4897: 4; phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1225,phrog_1689: 2; phrog_10602,phrog_4472,phrog_4943,phrog_11450,phrog_236,phrog_1689: 2; phrog_4472,phrog_4943,phrog_236,phrog_1225,phrog_1689: 2; phrog_18538,phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1689,phrog_4897: 2; phrog_18538,phrog_2585,phrog_10602,phrog_4943,phrog_4472,phrog_236,phrog_1689: 1	PF11753.11: 122	clu_539
