Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#2 - >GCA_002600045.1_00005[]	superfamily	177283	1	53	1.72353e-24	93.7015	cl20113	PHA00451 superfamily	C	 - 	protein kinase
Q#2 - >GCA_002600045.1_00005[]	superfamily	177283	51	86	1.09817e-12	61.3447	cl20113	PHA00451 superfamily	N	 - 	protein kinase
Q#8 - >GCA_002921805.1_00012[]	superfamily	222797	2	837	9.64779e-131	410.183	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#8 - >GCA_002921805.1_00012[]	superfamily	227439	1	816	1.93442e-82	286.502	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#8 - >GCA_002921805.1_00012[]	superfamily	425956	439	837	4.85298e-81	266.286	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#11 - >GCA_002922415.1_00057[]	superfamily	152654	59	218	9.06054e-103	298.313	cl13629	End_tail_spike superfamily	 - 	 - 	Catalytic domain of bacteriophage endosialidase; This domain family is found in bacteria and viruses, and is approximately 160 amino acids in length. There are two conserved sequence motifs: VSR and YGA. This domain is the C terminal domain of the bacteriophage protein endosialidase. The endosialidase protein forms homotrimeric molecules and this domain complexes into a tail-spike stalk. The stalk region folds in a triple beta-helix that is interrupted by a small triple beta-prism domain. The tail-spike is a multifunctional protein device used by the phage to fulfill the following functions: (i) to adsorb to the bacterial polySia capsule (ii) to de-polymerize the capsule to gain access to the outer bacterial membrane, and finally (iii) to mediate tight adhesion to the membrane, a prerequisite for the initiation of the infection cycle.
Q#11 - >GCA_002922415.1_00057[]	superfamily	418048	219	310	2.38773e-32	116.268	cl16452	Peptidase_S74_CIMCD superfamily	 - 	 - 	Peptidase S74 family, C-terminal intramolecular chaperone domain of Escherichia coli phage K1F endosialidase and related proteins; This peptidase S74 family includes C-terminal intramolecular chaperone domain (CIMCD) of Escherichia coli phage K1F endosialidase, Bacillus phage GA-1 neck appendage protein, and Bacteriophage T5 L-shaped tail fibre. This domain acts as a molecular chaperone; during virus particle assembly, the CIMCD of phage tailspike proteins induces the homo-trimerization of phage tailspike proteins by chaperoning the formation of a triple beta-helix. Homo-trimeric phage tailspike proteins are then auto-cleaved by the CIMCD domain. This family also includes the peptidase S74 Intramolecular Chaperone Auto-processing (ICA) domain of mammalian Myrf. The ICA domain drives the homo-oligomerization of Myrf in the endoplasmic reticulum (ER) membrane. The homo-oligomeric Myrf is proteolyzed by the ICA domain, releasing its N-terminal fragments from the ER membrane.
Q#11 - >GCA_002922415.1_00057[]	superfamily	333479	13	57	9.59267e-18	83.455	cl28659	End_beta_propel superfamily	N	 - 	Catalytic beta propeller domain of bacteriophage endosialidase; This domain family is found in bacteria and viruses, and is typically between 443 and 460 amino acids in length. This domain is the highly conserved beta propeller of bacteriophage endosialidase which represents the catalytically active part of the enzymes. This core domain forms stable SDS-resistant trimers. There is a nested beta barrel domain in this domain (pfam12195). The endosialidase protein complexes to form a homotrimeric molecule.
Q#32 - >GCA_006384715.1_00012[]	superfamily	224032	4	34	1.58607e-05	41.252	cl27538	COG1107 superfamily	C	 - 	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain  [Replication, recombination and repair]; Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain [DNA replication, recombination, and repair].
Q#33 - >GCA_006384715.1_00013[]	superfamily	444754	161	317	2.60013e-33	121.28	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#33 - >GCA_006384715.1_00013[]	superfamily	227308	101	319	1.66508e-09	57.984	cl44177	XerD superfamily	 - 	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#33 - >GCA_006384715.1_00013[]	superfamily	223655	99	329	1.92505e-08	54.8964	cl43194	XerC superfamily	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#33 - >GCA_006384715.1_00013[]	superfamily	227307	88	318	2.33191e-07	51.6286	cl44176	XerC superfamily	 - 	 - 	Site-specific recombinase XerC [Replication, recombination and repair]; Site-specific recombinase XerC [DNA replication, recombination, and repair].
Q#49 - >GCA_006516735.1_00010[]	superfamily	444754	158	313	1.65825e-31	116.272	cl00213	DNA_BRE_C superfamily	 - 	 - 	DNA breaking-rejoining enzymes, C-terminal catalytic domain; The DNA breaking-rejoining enzyme superfamily includes type IB topoisomerases and tyrosine based site-specific recombinases (integrases) that share the same fold in their catalytic domain containing conserved active site residues. The best-studied members of this diverse superfamily include Human topoisomerase I, the bacteriophage lambda integrase, the bacteriophage P1 Cre recombinase, the yeast Flp recombinase, and the bacterial XerD/C recombinases. Their overall reaction mechanism is essentially identical and involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. The enzymes differ in that topoisomerases cleave and then rejoin the same 5' and 3' termini, whereas a site-specific recombinase transfers a 5' hydroxyl generated by recombinase cleavage to a new 3' phosphate partner located in a different duplex region. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.
Q#49 - >GCA_006516735.1_00010[]	superfamily	223655	49	332	6.09461e-07	50.274	cl43194	XerC superfamily	 - 	 - 	Integrase [Replication, recombination and repair, Mobilome: prophages, transposons]; Integrase [DNA replication, recombination, and repair].
Q#49 - >GCA_006516735.1_00010[]	superfamily	227308	276	315	1.88724e-05	45.6576	cl44177	XerD superfamily	N	 - 	Site-specific recombinase XerD [Replication, recombination and repair]; Site-specific recombinase XerD [DNA replication, recombination, and repair].
Q#50 - >GCA_006516735.1_00011[]	superfamily	222797	11	814	0	702.55	cl42978	PHA00452 superfamily	 - 	 - 	T3/T7-like RNA polymerase
Q#50 - >GCA_006516735.1_00011[]	superfamily	425956	427	814	1.19318e-151	449.641	cl44477	RNA_pol superfamily	 - 	 - 	DNA-dependent RNA polymerase; This is a family of single chain RNA polymerases.
Q#50 - >GCA_006516735.1_00011[]	superfamily	227439	3	814	4.42356e-150	468.701	cl34907	RPO41 superfamily	N	 - 	Mitochondrial DNA-directed RNA polymerase  [Transcription]; Mitochondrial DNA-directed RNA polymerase [Transcription].
Q#50 - >GCA_006516735.1_00011[]	superfamily	434140	14	295	9.43169e-11	63.391	cl20638	RPOL_N superfamily	 - 	 - 	DNA-directed RNA polymerase N-terminal; This is the N-terminal domain of DNA-directed RNA polymerase. This domain has a role in interaction with regions of upstream promoter DNA and the nascent RNA chain, leading to the processivity of the enzyme. In order to make mRNA transcripts the RNA polymerase undergoes a transition from the initiation phase (which only makes short fragments of RNA) to an elongation phase. This domain undergoes a structural change in the transition from initiation to elongation phase. The structural change results in abolition of the promoter binding site, creation of a channel accommodating the heteroduplex in the active site and formation of an exit tunnel which the RNA transcript passes through after peeling off the heteroduplex.
